Fecha,Símbolo,Direccion,Jugada,Entrada,Stop,Riesgo,lotes,RU
2022-1-21 16:04:59,LOW,Corto,VBS_ADX,223.98,224.9299,0.9499,52.63712,50
2022-1-21 16:09:58,AMAT,Corto,VBS_ADX,137.0054,137.76,0.7546,66.26027,50
2022-1-21 16:34:57,AMAT,Corto,VBS_ADX,138.02,139.07,1.05,47.61905,50
2022-1-21 16:34:59,MCD,largo,VBS_ADX,256.92,256.24,0.68,73.52941,50
2022-1-21 16:34:58,NUGT,Corto,VBS_ADX,51.199,51.33,0.131,381.67939,50
2022-1-21 16:34:58,UAL,Corto,VBS_ADX,41.86,42.34,0.48,104.16667,50
2022-1-21 16:34:59,UBER,Corto,VBS_ADX,36.74,37.06,0.32,156.25,50
2022-1-21 16:34:59,WYNN,Corto,VBS_ADX,85.31,86.22,0.91,54.94505,50
2022-1-21 16:40:00,BABA,Corto,VBS_ADX,126.36,126.93,0.57,87.7193,50
2022-1-21 16:39:59,NUGT,Corto,VBS_ADX,51.3062,51.58,0.2738,182.61505,50
2022-1-21 16:39:58,UBER,Corto,VBS_ADX,36.8,37.17,0.37,135.13514,50
2022-1-21 16:39:59,WYNN,Corto,VBS_ADX,85.99,86.35,0.36,138.88889,50
2022-1-21 16:44:58,WYNN,Corto,VBS_ADX,86,86.39,0.39,128.20513,50
2022-1-21 16:49:59,SBUX,largo,VBS_ADX,97.66,97.47,0.19,263.15789,50
2022-1-21 16:59:58,GLD,Corto,VBS_ADX,171.295,171.3976,0.1026,487.32943,50
2022-1-21 17:04:58,MCD,largo,VBS_ADX,257.4998,257.11,0.3898,128.27091,50
2022-1-21 17:09:58,LVS,largo,VBS_ADX,44.62,44.43,0.19,263.15789,50
2022-1-21 17:19:59,MCD,largo,VBS_ADX,257.94,257.5,0.44,113.63636,50
2022-1-21 17:19:57,LOW,largo,VBS_ADX,229.5,228.46,1.04,48.07692,50
2022-1-21 17:19:58,NKE,largo,VBS_ADX,146.1408,145.7,0.4408,113.43013,50
2022-1-21 17:29:59,GLD,Corto,VBS_ADX,171.23,171.36,0.13,384.61538,50
2022-1-21 17:35:00,AMD,largo,VBS_ADX,124.27,123.4201,0.8499,58.83045,50
2022-1-21 17:34:58,GLD,Corto,VBS_ADX,171.25,171.35,0.1,500,50
